2,序章重巡-萨福克（瞄准型）
3,序章重巡-诺福克（散射型、肉盾）
4,序章战巡-胡德
5,序章战列-威尔士亲王
6,序章重巡-萨福克三联533mm鱼雷
7,序章重巡-诺福克四联533mm鱼雷
8,序章重巡-欧根亲王（瞄准型）
20,潜艇潜行关卡-U556单发鱼雷
97,单装测试武器
98,可打断测试武器
99,测试鱼雷
100,默认驱逐武器
101,默认轻巡武器
102,默认重巡武器
103,默认战列武器
104,默认防空炮
105,默认双联鱼雷
106,默认三联鱼雷
107,默认四联鱼雷
108,默认五联鱼雷
109,默认白鹰战斗机
110,默认白鹰鱼雷机
111,默认白鹰轰炸机
112,默认白鹰战斗机-自动防空
113,默认皇家战斗机
114,默认皇家鱼雷机
115,默认皇家轰炸机
116,默认皇家战斗机-自动防空
117,默认重樱战斗机
118,默认重樱鱼雷机
119,默认重樱轰炸机
120,默认重樱战斗机-自动防空
121,默认铁血战斗机
122,默认铁血鱼雷机
123,默认铁血轰炸机
124,默认铁血战斗机-自动防空
131,默认白鹰机炮(以下是默认舰载机的武器)
132,默认皇家机炮
133,默认重樱机炮
134,默认铁血机炮
135,默认白鹰鱼雷
136,默认皇家鱼雷
137,默认重樱鱼雷
138,默认铁血鱼雷
139,默认机载炸弹(以上是默认舰载机的武器)
140,默认潜艇鱼雷
141,默认深水炸弹
144,默认潜母水上机
145,默认水侦炸弹
201,白鹰雷击轻巡副炮T1
202,白鹰雷击轻巡副炮T2
203,白鹰雷击轻巡副炮T3
204,白鹰雷击轻巡副炮T4
211,皇家雷击轻巡副炮T1
212,皇家雷击轻巡副炮T2
213,皇家雷击轻巡副炮T3
214,皇家雷击轻巡副炮T4
221,重樱雷击轻巡副炮T1
222,重樱雷击轻巡副炮T2
223,重樱雷击轻巡副炮T3
224,重樱雷击轻巡副炮T4
231,铁血雷击轻巡副炮T1
232,铁血雷击轻巡副炮T2
233,铁血雷击轻巡副炮T3
234,铁血雷击轻巡副炮T4
251,撒丁雷击轻巡副炮T1
252,撒丁雷击轻巡副炮T2
253,撒丁雷击轻巡副炮T3
254,撒丁雷击轻巡副炮T4
261,北联雷击轻巡副炮T1
262,北联雷击轻巡副炮T2
263,北联雷击轻巡副炮T3
264,北联雷击轻巡副炮T4
271,鸢尾雷击轻巡副炮T1
272,鸢尾雷击轻巡副炮T2
273,鸢尾雷击轻巡副炮T3
274,鸢尾雷击轻巡副炮T4
301,白鹰雷击重巡副炮T1
302,白鹰雷击重巡副炮T2
303,白鹰雷击重巡副炮T3
304,白鹰雷击重巡副炮T4
311,皇家雷击重巡副炮T1
312,皇家雷击重巡副炮T2
313,皇家雷击重巡副炮T3
314,皇家雷击重巡副炮T4
321,重樱雷击重巡副炮T1
322,重樱雷击重巡副炮T2
323,重樱雷击重巡副炮T3
324,重樱雷击重巡副炮T4
331,铁血雷击重巡副炮T1
332,铁血雷击重巡副炮T2
333,铁血雷击重巡副炮T3
334,铁血雷击重巡副炮T4
351,撒丁雷击重巡副炮T1
352,撒丁雷击重巡副炮T2
353,撒丁雷击重巡副炮T3
354,撒丁雷击重巡副炮T4
371,鸢尾雷击重巡副炮T1
372,鸢尾雷击重巡副炮T2
373,鸢尾雷击重巡副炮T3
374,鸢尾雷击重巡副炮T4
900,烟雾发射装置小范围
901,烟雾发射装置大范围
902,闪光弹头
911,烟雾发射装置小范围
921,烟雾发射装置大范围
998,双影无双
999,EXPLOSION
4000,Mark I型DCT
4020,Mark I型DCT
4040,Mark I型DCT
4100,Mark 6型K-Gun
4120,Mark 6型K-Gun
4140,Mark 6型K-Gun
4200,剑鱼Mark.II-ASV
4220,剑鱼Mark.II-ASV
4240,剑鱼Mark.II-ASV
4300,TBM-3复仇者
4320,TBM-3复仇者
4340,TBM-3复仇者
5000,三联533mm鱼雷T1
5020,三联533mm鱼雷T2
5040,三联533mm鱼雷T3
5100,四联533mm鱼雷T1
5120,四联533mm鱼雷T2
5140,四联533mm鱼雷T3
5200,五联533mm鱼雷T1
5220,五联533mm鱼雷T2
5240,五联533mm鱼雷T3
5300,双联550mm鱼雷T1
5320,双联550mm鱼雷T2
5340,双联550mm鱼雷T3
5400,三联550mm鱼雷T1
5420,三联550mm鱼雷T2
5440,三联550mm鱼雷T3
